FROM,TO,WEIGHT
pit52147834,lourdescolomes,1
pit52147834,afc073,1
fcojfs,berfontaine,1
yasna_cardenasx,constindigena,1
yasna_cardenasx,marchanstar,1
yasna_cardenasx,conyschon,1
yasna_cardenasx,carovilchesf,1
yasna_cardenasx,primeralineatw1,1
yasna_cardenasx,jvosorno,1
yasna_cardenasx,danielstingo,1
yasna_cardenasx,crovanos,1
namegeorge,jardanijovono17,1
namegeorge,amdnicolas,1
namegeorge,panelciudadano,1
namegeorge,angeldlacruz_,1
alessa_sophia21,berfontaine,1
alejandroagi,rodjav_,1
gaticam2,berfontaine,1
gaticam2,geoedgonzalez,1
gaticam2,paz_charpentier,1
gaticam2,pablodelapeyra,1
macarena55,kennysubiabre,1
macarena55,ursulaeggers,1
macarena55,squellaagustin,1
lcolchaguina,berfontaine,1
lcolchaguina,panchoorregog,1
carlosureta12,berfontaine,1
carlosureta12,eldrone3,1
lifty23,berfontaine,1
lifty23,arnausarrat,1
xavi_warrior,berfontaine,1
carola_dic1975,berfontaine,1
chris_torres86,psd_cl,1
valeskaoyarcep,gubernatti,1
paul_vaso_telec,kennysubiabre,1
paul_vaso_telec,delosquesobran,1
paul_vaso_telec,paulodelgadoi,1
pasthorcristian,berfontaine,1
marioreyessilv1,cacoapp,1
marioreyessilv1,ari_santis,1
marioreyessilv1,ursulaeggers,1
marioreyessilv1,albiorixfebe,1
chilelibre23345,sebasti45781359,1
chilelibre23345,mariacborsotto,1
chilelibre23345,patitoo_verde,1
merr2fish,mdelam99,1
7mattym,lvera50,1
7mattym,el_ciudadano,1
7mattym,apruebo4septbre,1
7mattym,ndi3go,1
chilenonorm,conihube,1
chilenonorm,ivanparisf1,1
chilenonorm,quirkearrau,1
chilenonorm,el_despierto26,1
chilenonorm,franctivista,1
chilenonorm,lucyanaah,1
jpablomoya,berfontaine,1
jpablomoya,panchoorregog,1
zoyer79553044,berfontaine,1
miguelalonsor,panelciudadano,1
miguelalonsor,macasilvacost,1
miguelalonsor,ccifuentesh,1
miguelalonsor,aldunatefran,1
miguelalonsor,jordi_verges,1
vicentepolitic,berfontaine,1
vicentepolitic,ossandonlira,1
vicentepolitic,forregob,1
cuervos06,lucasaykal,1
cuervos06,gloriaalonsomiq,1
cuervos06,vladomirosevic,1
cuervos06,cnavarreteliz,1
cuervos06,lvera50,1
cuervos06,paz_charpentier,1
cuervos06,felipeparadam,1
lu6520,24horastvn,1
lu6520,panchoorregog,1
lu6520,sebasti45781359,1
lu6520,dgalarce,1
lu6520,amorenoe,1
lu6520,paz_charpentier,1
lu6520,aldunatefran,1
lu6520,wesserbesser,1
riofriomariela,berfontaine,1
riofriomariela,kekabasualdo,1
negaan_98,berfontaine,1
negaan_98,joselabbem,1
negaan_98,conihube,1
negaan_98,sebasti45781359,1
negaan_98,tepa_jeldrez,1
lexvivanco,berfontaine,1
lexvivanco,sinfiltros_tv,1
lexvivanco,lucyanaah,1
juancub27747464,berfontaine,1
ortegalucy77,berfontaine,1
ortegalucy77,conihube,1
ortegalucy77,eldrone3,1
ortegalucy77,patrialibertadn,1
ortegalucy77,arturoojeda466,1
ortegalucy77,rfrecuenciacl,1
ortegalucy77,artemisofarica,1
0099430605,berfontaine,1
huincavladimir,el_ciudadano,1
diego_minaj,berfontaine,1
eugenia99563542,lvera50,1
fcancinov,tele13_radio,1
fcancinov,amorenoe,1
aliciaramrezru1,naticastillo_r,1
aliciaramrezru1,yasnalewin,1
aliciaramrezru1,dlirio,1
aliciaramrezru1,pivotes_cl,1
aliciaramrezru1,elisagiustinia1,1
aliciaramrezru1,el_ciudadano,1
luisbritop,lvera50,1
rechazo_cc_qla,berfontaine,1
romybustamante5,berfontaine,1
romybustamante5,gloriaalonsomiq,1
iceminina,berfontaine,1
iceminina,conihube,1
iceminina,paz_charpentier,1
francoscl1967,berfontaine,1
fontapod,osvaldo_contr2r,1
fontapod,berfontaine,1
fontapod,kekabasualdo,1
fontapod,paz_charpentier,1
fontapod,sebasti45781359,1
fontapod,jirarrazavalr,1
fontapod,javieri32072840,1
fontapod,aldunatefran,1
fontapod,arnulforiveross,1
fontapod,leonorvaral,1
fontapod,paulacabezas56,1
fontapod,el_despierto26,1
frodriguezg,miguelhuerta32,1
jotacanelones,nellatronic,1
caffarenac,kennysubiabre,1
caffarenac,meqchile,1
caffarenac,delosquesobran,1
alaeddin_acc,constindigena,1
janobasssalfate,el_ciudadano,1
azulesojitos,paz_charpentier,1
azulesojitos,jirarrazavalr,1
azulesojitos,aldunatefran,1
azulesojitos,panchoorregog,1
consubaltra,kennysubiabre,1
pedroyarzo,ampueroadriana,1
cubivero,kennysubiabre,1
paulyzg,berfontaine,1
paulyzg,o287ro8at1,1
paulyzg,pollyanaconsti1,1
paulyzg,cfelmerv,1
paulyzg,jordi_verges,1
paulyzg,maldonadocurti,1
paulyzg,arturoojeda466,1
krnbanda,fcordovae,1
krnbanda,yasnalewin,1
edbrownell,kennysubiabre,1
francoyadag,osvaldo_contr2r,1
francoyadag,conihube,1
francoyadag,panchoorregog,1
francoyadag,arturoojeda466,1
alejosiberianx,kennysubiabre,1
valpino,felipeics1,1
territorio_cs,chilemigra,1
vtow8,constindigena,1
quiquita57,berfontaine,1
quiquita57,eldrone3,1
quiquita57,rossandoni,1
carlostelodije,berfontaine,1
fcoarellano,carovilchesf,1
fcoarellano,ivannaolivares5,1
fcoarellano,nodoxxi,1
ergosur,berfontaine,1
ergosur,pattysire,1
killemall1976,berfontaine,1
killemall1976,pablodelapeyra,1
killemall1976,tatty1977,1
killemall1976,lucyanaah,1
killemall1976,encuestanonima,1
cs_lareina,lareinaxboric,1
ciudadanastgo,berfontaine,1
mruknife,berfontaine,1
gxpedition,berfontaine,1
ursulaeggers,constindigena,1
ursulaeggers,24horastvn,1
ursulaeggers,el_ciudadano,1
ursulaeggers,manuconstituye,1
ursulaeggers,luisibacache_,1
pretoriano2009,berfontaine,1
pretoriano2009,conihube,1
pretoriano2009,paz_charpentier,1
pretoriano2009,kadircruz,1
fernandomolleru,aldunatefran,1
fernandomolleru,panchoorregog,1
fernandomolleru,lucyanaah,1
mateluna_perez,ampueroadriana,1
rsuazomedina,berfontaine,1
ajuson58p,el_ciudadano,1
rorodiqq,berfontaine,1
davidguerrerop9,la_convergencia,1
davidguerrerop9,snbdoxapruebo,1
mdez_fer,ursulaeggers,1
luceritoandme,kennysubiabre,1
luceritoandme,ursulaeggers,1
luceritoandme,danielstingo,1
anime650,berfontaine,1
carmenh22871399,berfontaine,1
carmenh22871399,conihube,1
osorod1,ampueroadriana,1
xiqui03887670,kennysubiabre,1
cagc813,oiga_profe,1
cagc813,isaiasrojaspe,1
cagc813,estallidotw,1
cagc813,r_saavedram,1
rruizm16,ampueroadriana,1
rruizm16,elisagiustinia1,1
nicomunozcooper,berfontaine,1
armando35937447,kennysubiabre,1
bkp17978465,berfontaine,1
javoelrusio,berfontaine,1
javoelrusio,conihube,1
ahimmer,berfontaine,1
ahimmer,ahsa717,1
ahimmer,panchoorregog,1
ahimmer,kekabasualdo,1
luisgon62197985,leysoft,1
luisgon62197985,paz_charpentier,1
frsepulv,tele13_radio,1
silviap53493397,constindigena,1
gilverts,berfontaine,1
evelynsantiba84,berfontaine,1
torres_yuria,tron_1971,1
torres_yuria,naticastillo_r,1
torres_yuria,cristian_quiroz,1
torres_yuria,bgdagallorojo,1
torres_yuria,jorgepablolguin,1
mireyasnchezor1,kennysubiabre,1
mireyasnchezor1,jeniffermella,1
litocoach,berfontaine,1
litocoach,dgalarce,1
litocoach,ccifuentesh,1
litocoach,gloriaalonsomiq,1
litocoach,ossandonlira,1
litocoach,amorenoe,1
litocoach,24horastvn,1
litocoach,becasess,1
litocoach,encuestaschil10,1
biozero,tiapikachu,1
biozero,meteoohiggins,1
biozero,afc073,1
biozero,contexto_cl,1
biozero,squellaagustin,1
biozero,jorgepablolguin,1
00independiente,berfontaine,1
s_rabagliati,berfontaine,1
betzy_look,tiapikachu,1
betzy_look,ampueroadriana,1
cododegato,carovilchesf,1
cododegato,modatima_cl,1
cododegato,norambio,1
cododegato,flavioqr,1
cododegato,fernando_atria,1
checomandan,tiapikachu,1
checomandan,ampueroadriana,1
agaflinz,defrente_cl,1
agaflinz,frenterebeldes,1
hitchblue01,berfontaine,1
mauriciomavc,kennysubiabre,1
miguelv16566834,el_ciudadano,1
cristianabarcaa,jorgefabrega,1
cristianabarcaa,miguelhuerta32,1
cristianabarcaa,ossandonlira,1
cristianabarcaa,pablodelapeyra,1
cristianabarcaa,angeldlacruz_,1
cristianabarcaa,tresquintos,1
cristianabarcaa,sinfiltros_tv,1
cristianabarcaa,lucyanaah,1
moisesgallo,carovilchesf,1
trabajaronline1,andresgiordanos,1
trabajaronline1,jorgepablolguin,1
trabajaronline1,javierc4ceres,1
trabajaronline1,carovilchesf,1
darth_jam,carovilchesf,1
gonzaresti,berfontaine,1
gonzaresti,gubernatti,1
jaimefariasc,berfontaine,1
jaimefariasc,animal_woman_,1
jaimefariasc,franctivista,1
ernestorosende,valeriasalinero,1
choikepurun,yasnalewin,1
choikepurun,ecoconstituyent,1
choikepurun,rkatrileo,1
choikepurun,eziocosta,1
choikepurun,catala_style,1
choikepurun,anamuri3,1
choikepurun,hugoguionista,1
choikepurun,danilopezlv,1
choikepurun,thetimescl,1
choikepurun,amnistiachile,1
choikepurun,cristofer_lara2,1
choikepurun,manuconstituye,1
choikepurun,erikamontecinos,1
choikepurun,afc073,1
choikepurun,el_ciudadano,1
choikepurun,ipnpopular,1
choikepurun,jeniffermella,1
choikepurun,gloconstituyent,1
traukochile,24horastvn,1
lajoce22,apolinio_73,1
lajoce22,aldunatefran,1
lajoce22,arturoojeda466,1
gerardoiturrag1,defrente_cl,1
supercarlos2,el_ciudadano,1
danitrujillor1,defrente_cl,1
araneda_danilo,kennysubiabre,1
fdelosdemonios,berfontaine,1
fdelosdemonios,paz_charpentier,1
marisanru,tomaterojocl,1
marisanru,halunkevalnor,1
marisanru,mauricionv,1
marisanru,revtt_prensa,1
marisanru,diputadonaranjo,1
gajardogladys,miguel_a_rendon,1
ansioso24x7,24horastvn,1
ansioso24x7,crisvillavera,1
lasurea03461603,berfontaine,1
saavedrabadilla,ampueroadriana,1
cespedespablo,kennysubiabre,1
moralistacrist,berfontaine,1
moralistacrist,lucyanaah,1
beakobito1,miguel_a_rendon,1
beakobito1,jedomm,1
beakobito1,marcoarellano29,1
beakobito1,ursulaeggers,1
beakobito1,robertoceledonf,1
beakobito1,hugoguionista,1
mariais56434024,jeniffermella,1
pablofe26252470,apolinio_73,1
illescaroco,la_convergencia,1
llull_miguel,berfontaine,1
anafierrop6,sebasti45781359,1
bhdilan,marcelaverad,1
bhdilan,referenterps,1
idasepulveda2,berfontaine,1
idasepulveda2,paz_charpentier,1
lore_duartea,kennysubiabre,1
lore_duartea,hugoguionista,1
lore_duartea,danielstingo,1
frandistrito14,defrente_cl,1
frandistrito14,el_ciudadano,1
palogron,miguelhuerta32,1
palogron,berfontaine,1
palogron,osvaldo_contr2r,1
palogron,lucyanaah,1
madridherrada,kennysubiabre,1
madridherrada,danielstingo,1
bombilla7,miderechoeducar,1
reset54321,paulaboeri,1
pacitahj,paulaboeri,1
elitihue,defrente_cl,1
elitihue,saladadulcey,1
elitihue,sandrabarraza,1
elitihue,la_redacciontv,1
elitihue,apruebo4septbre,1
paomolinave,paulaboeri,1
paomolinave,manuconstituye,1
gloriapatriota1,paz_charpentier,1
gloriapatriota1,kekabasualdo,1
gloriapatriota1,freddyrichard,1
gloriapatriota1,gentedelsur2022,1
gloriapatriota1,lucyanaah,1
pactochilelibre,berfontaine,1
lucky_2022,sebasti45781359,1
lucky_2022,24horastvn,1
lucky_2022,aldunatefran,1
lucky_2022,bbkqk,1
lucky_2022,lucasaykal,1
rottenandritual,tiapikachu,1
rottenandritual,r_saavedram,1
alexelpopeye,berfontaine,1
alexelpopeye,aldunatefran,1
alexelpopeye,sinfiltros_tv,1
rechazomonita,berfontaine,1
rechazomonita,pablodelapeyra,1
rechazomonita,panchoorregog,1
furiosaluminosa,ecoconstituyent,1
furiosaluminosa,alinekuppenheim,1
marcelarosen,miguel_a_rendon,1
marcelarosen,tomaterojocl,1
marcelarosen,afc073,1
anicorr2,conihube,1
robincofrald,ampueroadriana,1
sbarrien,el_ciudadano,1
davico55,marcomboz,1
hola_atodxs,davidfrancoesp3,1
hola_atodxs,jorgepablolguin,1
hola_atodxs,wickerman5120,1
cfpt1976,felipeics1,1
cfpt1976,rodrigoarayac_,1
cfpt1976,jorgepablolguin,1
comandantad,rodofueguino,1
camila15596045,kennysubiabre,1
martinsitosaa,berfontaine,1
martinsitosaa,lucyanaah,1
cari_karii,sebasti45781359,1
bernard29215516,ampueroadriana,1
bernard29215516,jorgepablolguin,1
bernard29215516,hugoguionista,1
bernard29215516,diputadonaranjo,1
bernard29215516,dunicos,1
bernard29215516,priscillatellez,1
alejben4,kennysubiabre,1
alejben4,elmostrador,1
prafaelprovi,paz_charpentier,1
sebaavila29,ampueroadriana,1
ficocampero,berfontaine,1
lucyanaah,miderechoeducar,1
bermedopaola,jirarrazavalr,1
bermedopaola,tatty1977,1
andreatarzijan,berfontaine,1
girealaderecha,maurita_v,1
girealaderecha,medinalorca,1
girealaderecha,nelsontrejoj,1
girealaderecha,encuestaschil10,1
isavillanuevag_,ariannevanandel,1
moisamaob,berfontaine,1
fena_carrasco,24horastvn,1
mbiturriaga,berfontaine,1
andres_arvs,ampueroadriana,1
andres_arvs,24horastvn,1
andres_arvs,rkatrileo,1
andres_arvs,barbie739585525,1
andres_arvs,jeniffermella,1
merydomeykop,berfontaine,1
merydomeykop,squellaagustin,1
thorrvikk,berfontaine,1
moishazan,paz_charpentier,1
graciaam2,s_critor,1
graciaam2,conyschon,1
graciaam2,davidpintoi,1
graciaam2,aldunatefran,1
graciaam2,sosasott,1
graciaam2,gubernatti,1
zcensurada,marcomboz,1
zcensurada,bacigalupe,1
zcensurada,estallidotw,1
nordenroa,e_constituyente,1
nordenroa,panchoorregog,1
nordenroa,encuestanonima,1
nordenroa,davidpintoi,1
nordenroa,a_raiser06,1
perdidaenelnort,constindigena,1
_la_fugitiva,heliamolina_m,1
girasol_macho,marcomboz,1
girasol_macho,movimientounir,1
coneguerra83,berfontaine,1
coneguerra83,conihube,1
marcos06998092,lapa_o_,1
veromunozgmunoz,julia07676876,1
veromunozgmunoz,alejandroarayah,1
veromunozgmunoz,piri_iriarte,1
veromunozgmunoz,amorenoe,1
veromunozgmunoz,panchoorregog,1
veromunozgmunoz,cbarriaz,1
veromunozgmunoz,ropaestilosa,1
veromunozgmunoz,ccifuentesh,1
veromunozgmunoz,berfontaine,1
veromunozgmunoz,chica61432746,1
veromunozgmunoz,pivotes_cl,1
veromunozgmunoz,lucasaykal,1
veromunozgmunoz,sinfiltros_tv,1
veromunozgmunoz,cfelmerv,1
veromunozgmunoz,felipecariqueo2,1
rcontrerasg0420,marcomboz,1
rcontrerasg0420,hugoguionista,1
rcontrerasg0420,valeskamondaca1,1
rcontrerasg0420,enriquearmand0,1
titinchago,lapa_o_,1
titinchago,hugoguionista,1
titinchago,palkatiao,1
titinchago,ahanubis,1
titinchago,jfgallardoperez,1
marielysoto,nodoxxi,1
cloudmig,kennysubiabre,1
consentidachile,divasto,1
consentidachile,cadem_cl,1
plasocialista,nodoxxi,1
plasocialista,yasnalewin,1
plasocialista,enzopelle11,1
ana_karina39,tron_1971,1
ana_karina39,palkatiao,1
the_maurok,berfontaine,1
karamelito65,tron_1971,1
karamelito65,jvosorno,1
gabyqa06,nodoxxi,1
gabyqa06,juanaravenap,1
gabyqa06,yasnalewin,1
gabyqa06,meqchile,1
gabyqa06,jeniffermella,1
ignacioiriarte,conyschon,1
ignacioiriarte,gheragor,1
ppddiputados,heliamolina_m,1
marcovivancoo,berfontaine,1
felizyorgulloso,ampueroadriana,1
felizyorgulloso,ricardocelis,1
dmlynarz,luis_sandovalc,1
dmlynarz,jeniffermella,1
martita2508,ivan_antonio,1
alfredorayo000,supernova_2020,1
alfredorayo000,el_gran_rafa,1
elbosquedefern1,berfontaine,1
verito4x4,ampueroadriana,1
verito4x4,marcomboz,1
verito4x4,ursulaeggers,1
lapatriota18,sebasti45781359,1
mangai_77,an_pyl,1
thevocedin,kennysubiabre,1
copihua85,el_ciudadano,1
copihua85,kennysubiabre,1
copihua85,hugoguionista,1
copihua85,zonaextrema5,1
copihua85,femuch1,1
copihua85,eziocosta,1
copihua85,crovanos,1
copihua85,jeniffermella,1
copihua85,edgardolovera,1
copihua85,javireyesj,1
copihua85,angelikamati,1
andreaarasan,ampueroadriana,1
eepr52,sebasti45781359,1
eepr52,aldunatefran,1
eepr52,javierahartmann,1
eepr52,angeldlacruz_,1
patroj,ampueroadriana,1
patroj,gracearcosm,1
patroj,flavioqr,1
patroj,lomediciones,1
patroj,squellaagustin,1
patroj,afc073,1
patroj,marcoqz,1
valdego1,ampueroadriana,1
valdego1,flavioqr,1
valdego1,diputadonaranjo,1
valdego1,jvosorno,1
valdego1,aldunatefran,1
valdego1,miguelgaraym,1
valdego1,jeniffermella,1
valdego1,carlourrea,1
valdego1,jorgepablolguin,1
valdego1,jfgallardoperez,1
agustin3578,regalo_ideal,1
clarcaceres,berfontaine,1
canales_mar,ampueroadriana,1
canales_mar,24horastvn,1
canales_mar,robertoceledonf,1
rodovi2,bacigalupe,1
victorf40868938,kennysubiabre,1
skaralbo1982,bacigalupe,1
skaralbo1982,ampueroadriana,1
skaralbo1982,allendexxi,1
skaralbo1982,chilesintlc,1
woodywald,bacigalupe,1
ortegahernan,kennysubiabre,1
robertonrm,bacigalupe,1
robertonrm,comundignidad,1
senadoresps,adeurresti,1
cynthia80856781,berfontaine,1
cynthia80856781,ximesimple,1
viviarancibia,24horastvn,1
carrod22965123,ampueroadriana,1
adterz,ampueroadriana,1
ppsupernova,damabarca,1
ppsupernova,ivannaolivares5,1
ppsupernova,rkatrileo,1
ppsupernova,gheragor,1
ppsupernova,elisagiustinia1,1
ppsupernova,ampueroadriana,1
eduardo40677519,bacigalupe,1
eduardo40677519,jmarcelotobarc,1
gonzisky,ampueroadriana,1
3f_ingenieria,bacigalupe,1
negruraa,ampueroadriana,1
yamileendajbara,berfontaine,1
yamileendajbara,ccifuentesh,1
yamileendajbara,kekabasualdo,1
margari15677117,kennysubiabre,1
elturcohassann,laconvencion_,1
elturcohassann,corazonnortino,1
elturcohassann,revtt_prensa,1
mauismnv,maldonadocurti,1
pacita1976,sebasti45781359,1
pacita1976,berfontaine,1
pacita1976,ropaestilosa,1
pacita1976,jaijaimerio,1
baegex,laconvencion_,1
baegex,modatima_cl,1
baegex,robertoceledonf,1
baegex,mariseka,1
baegex,afc073,1
pabloarancibiap,ampueroadriana,1
pabloarancibiap,nacido_ac,1
sebamilos,fuerzacultural1,1
florencia_pink,sebasti45781359,1
florencia_pink,lucasaykal,1
patosanhueza1,marce_sandoval_,1
anakarencalama,ampueroadriana,1
necroxisis,24horastvn,1
necroxisis,willywonkis_,1
necroxisis,jordi_verges,1
leoechenique_,felipeics1,1
leoechenique_,hugoguionista,1
lapachecocruces,marce_sandoval_,1
moniqui66726938,bacigalupe,1
jafiera,ampueroadriana,1
hugocuevaslive1,sebamilos,1
icemperador,miderechoeducar,1
cristia22066690,berfontaine,1
cristia22066690,gubernatti,1
patipelado1,bacigalupe,1
rapu_ncel,apolinio_73,1
manuelaochenta,ampueroadriana,1
manuelaochenta,marcetys,1
manuelaochenta,robertoceledonf,1
anitamariaan,miguelhuerta32,1
andreas48382820,apruebosalida,1
andreas48382820,jaime_bassa,1
andreas48382820,revtt_prensa,1
viviluc2,caranguizs,1
viviluc2,nellatronic,1
viviluc2,rodofueguino,1
viviluc2,la_redacciontv,1
viviluc2,sergiocabellol,1
gloriajaraanef,javireyesj,1
valitajama11,caranguizs,1
luchitovina1950,kennysubiabre,1
luchitovina1950,jedomm,1
luchitovina1950,jeniffermella,1
carolpohlhammer,bacigalupe,1
carolpohlhammer,allendexxi,1
carolpohlhammer,halunkevalnor,1
portulola1957,ampueroadriana,1
susanneduring,chilelibertad21,1
susanneduring,fedoraletelier,1
susanneduring,arturoojeda466,1
susanneduring,nutrsinmarcas,1
susanneduring,angeldlacruz_,1
susanneduring,mmullor2016,1
erickfuentealba,rodjav_,1
erickfuentealba,conihube,1
geridtrv,berfontaine,1
geridtrv,crisvillavera,1
geridtrv,sinfiltros_tv,1
geridtrv,angeldlacruz_,1
wcaulfield451,daviduardo,1
wcaulfield451,nellatronic,1
wcaulfield451,oiga_profe,1
wcaulfield451,danilopezlv,1
wcaulfield451,diputadonaranjo,1
alejandro_del80,ampueroadriana,1
alejandro_del80,hugoguionista,1
alejandro_del80,danielstingo,1
carmengloriade6,berfontaine,1
carmengloriade6,kekabasualdo,1
carmengloriade6,olecramsajor,1
carmengloriade6,pablodelapeyra,1
carmengloriade6,lucasaykal,1
carmengloriade6,arturoojeda466,1
carmengloriade6,encuestaschil10,1
raulapinto,ampueroadriana,1
pipelex1,panchoorregog,1
pipelex1,sebasti45781359,1
pipelex1,berfontaine,1
pipelex1,davidpintoi,1
pipelex1,paz_charpentier,1
pipelex1,ccifuentesh,1
pipelex1,pribbag,1
pipelex1,bohn_ingrid,1
picopal34606367,ampueroadriana,1
picopal34606367,el_ciudadano,1
picopal34606367,bonoboxchile,1
picopal34606367,isaiasrojaspe,1
picopal34606367,jorgepablolguin,1
picopal34606367,luisboz68365075,1
picopal34606367,artes_oficial,1
zaltesco,bacigalupe,1
wn_alla,bacigalupe,1
crovanos,apruebosalida,1
crovanos,lgougain,1
teresavidela5,berfontaine,1
sandritagari5,ampueroadriana,1
sandritagari5,miguelgaraym,1
sandritagari5,el_ciudadano,1
sebafranzani,sebasti45781359,1
decontruyete,apruebosalida,1
refust,ampueroadriana,1
refust,el_ciudadano,1
amanda_saav,constindigena,1
caalfaroramirez,apruebosalida,1
caalfaroramirez,hugoguionista,1
caalfaroramirez,palkatiao,1
nmullerc_,berfontaine,1
rafo_survivor,ccifuentesh,1
rafo_survivor,aldunatefran,1
rafo_survivor,sinfiltros_tv,1
garrido_mega,bacigalupe,1
augustogarciav,berfontaine,1
augustogarciav,conihube,1
decapnatasha,paz_charpentier,1
danyolivai,berfontaine,1
meugeni80338158,kensselrojas,1
meugeni80338158,jaime_bassa,1
meugeni80338158,ursulaeggers,1
meugeni80338158,oiga_profe,1
meugeni80338158,hugoguionista,1
meugeni80338158,jeniffermella,1
meugeni80338158,sepulvedamon,1
meugeni80338158,jminnovando,1
meugeni80338158,diputadonaranjo,1
meugeni80338158,ludwitja,1
meugeni80338158,jzenteno61,1
meugeni80338158,angelikamati,1
el_octayino,egonelier,1
carlos_hansen,berfontaine,1
patriciomery,ampueroadriana,1
patriciomery,hugoguionista,1
patriciomery,referenterps,1
luisgastons,ampueroadriana,1
luisgastons,yasnalewin,1
luisgastons,el_ciudadano,1
luisgastons,dunicos,1
luisgastons,acancinocc,1
luisgastons,mvm_ing,1
luisgastons,zcensurada,1
luisgastons,carovilchesf,1
oposicion_chile,24horastvn,1
oposicion_chile,damabarca,1
lilitave0142,berfontaine,1
lilitave0142,conihube,1
lilitave0142,jirarrazavalr,1
cata_a_secas,laconvencion_,1
cata_a_secas,danielstingo,1
cata_a_secas,comundignidad,1
cata_a_secas,estallidotw,1
vania_mery,luisboz68365075,1
gonzalezv_julio,berfontaine,1
pullrene,berfontaine,1
clausep1,berfontaine,1
clausep1,arturoojeda466,1
clausep1,sinfiltros_tv,1
lucia75275797,juanj0gonzalez,1
hqgatica,adeurresti,1
javi_haru,constindigena,1
carlahealings2,sebasti45781359,1
carlahealings2,panchoorregog,1
philroman7,berfontaine,1
hazrivas,miderechoeducar,1
quinterosmoya,zcensurada,1
morrissette99,ampueroadriana,1
morrissette99,cristofer_lara2,1
pdepenas,kennysubiabre,1
pdepenas,revtt_prensa,1
pdepenas,la_redacciontv,1
pdepenas,andrea__ctm,1
bastidasportal,laconvencion_,1
octopuscl,ropaestilosa,1
manueldepablos,tele13_radio,1
mauriciosologu3,felipeics1,1
panasi1231,berfontaine,1
claudioahernan1,ampueroadriana,1
claudioahernan1,conyschon,1
gonbur,berfontaine,1
juanito_patriot,berfontaine,1
hiramluzio,ampueroadriana,1
hiramluzio,dinoazulado_d6,1
hiramluzio,conyschon,1
hiramluzio,modatima_cl,1
hiramluzio,cnashr,1
hiramluzio,felipe_ruizb,1
maormazabalg,ampueroadriana,1
maormazabalg,andrea__ctm,1
19_blux,berfontaine,1
19_blux,aldunatefran,1
pdequiros2,berfontaine,1
racatere,berfontaine,1
racatere,24horastvn,1
elcuarentenials,ampueroadriana,1
fiscaliapopular,leromerow,1
guille_60,berfontaine,1
guille_60,ralvarezlama,1
guille_60,24horastvn,1
phosforilado,ampueroadriana,1
phosforilado,jaime_bassa,1
phosforilado,nicolasfernand,1
phosforilado,constituyentefa,1
phosforilado,robertoceledonf,1
phosforilado,rmontero_,1
phosforilado,bgdagallorojo,1
phosforilado,el_ciudadano,1
phosforilado,diputadonaranjo,1
phosforilado,cnashr,1
phosforilado,ddhh_chile,1
phosforilado,manuconstituye,1
phosforilado,eziocosta,1
phosforilado,comundignidad,1
phosforilado,jadaeno,1
phosforilado,xtianrocker,1
phosforilado,marcetys,1
phosforilado,squellaagustin,1
phosforilado,centraleschile,1
phosforilado,livillo,1
phosforilado,crovanos,1
star22_golden,donmarcelofdez,1
star22_golden,confusamchile,1
ayoyilez,ampueroadriana,1
ayoyilez,eduardoorrego5,1
ayoyilez,marcoarellano29,1
ayoyilez,ursulaeggers,1
ayoyilez,robertoceledonf,1
ayoyilez,ddhh_chile,1
ayoyilez,rodrigoarayac_,1
ayoyilez,jeniffermella,1
michaelvaras13,ampueroadriana,1
alecarcamo75,ampueroadriana,1
sebinoo,leromerow,1
sebinoo,edosalascerda,1
sebinoo,dlirio,1
sebinoo,betitocote,1
sebinoo,rkatrileo,1
sebinoo,pirireis191,1
sebinoo,rodrigoarayac_,1
sebinoo,hugoguionista,1
elfr2000,berfontaine,1
aquilesu,luisboz68365075,1
aquilesu,mariariveramit,1
aquilesu,allendexxi,1
tamiii___,bacigalupe,1
cidpatita,ampueroadriana,1
cidpatita,delosquesobran,1
cidpatita,criordor,1
cidpatita,meqchile,1
cidpatita,centrociir,1
1973educorv,lucasaykal,1
1973educorv,benjaerra,1
1973educorv,apolinio_73,1
1973educorv,tatty1977,1
lalobfuentes1,ampueroadriana,1
sardinillahorse,berfontaine,1
camilo23935957,lucasaykal,1
camilo23935957,osvaldo_contr2r,1
camilo23935957,rfrecuenciacl,1
eldiabloroboc,ampueroadriana,1
eldiabloroboc,hugoguionista,1
hermosillacr,marcoarellano29,1
catalina8360608,sebasti45781359,1
catalina8360608,miderechoeducar,1
catalina8360608,sinfiltros_tv,1
catalina8360608,chica61432746,1
catalina8360608,encuestaschil10,1
lapt94luis,kekabasualdo,1
lapt94luis,sinfiltros_tv,1
cielo_tronador,berfontaine,1
cielo_tronador,eldrone3,1
cielo_tronador,jfrusell,1
gajardo_araya,ampueroadriana,1
gajardo_araya,meqchile,1
lily_o56,ampueroadriana,1
lily_o56,24horastvn,1
lily_o56,vladomirosevic,1
hierba_mala_28,sebasti45781359,1
mediocresenelc1,sebasti45781359,1
mediocresenelc1,conihube,1
mediocresenelc1,paz_charpentier,1
mediocresenelc1,aldunatefran,1
mediocresenelc1,arturoojeda466,1
mediocresenelc1,angeldlacruz_,1
carlosb35444218,berfontaine,1
carlosb35444218,franctivista,1
yoyisb,berfontaine,1
yoyisb,ropaestilosa,1
yoyisb,o287ro8at1,1
yoyisb,lucyanaah,1
victorbrav,jorgepablolguin,1
rodolfoorrego3,conapaschile,1
