FROM,TO,WEIGHT
amunateguirosa,berfontaine,4
ma_ossandon,24horastvn,4
mariperaltam1,piensaliberalcl,4
mariperaltam1,miderechoeducar,4
andrea25chilena,paz_charpentier,4
ropaestilosa,amarillos_chile,4
silviac99489101,ikramchilenial,4
jccordero28,24horastvn,4
lorhuc,supernova_2020,4
munos1977,el_ciudadano,4
ignacio47405730,dpm_chile2020,4
claudiosilvaq,hugoguionista,4
max_drago,artemisofarica,4
juanbernardoa11,el_ciudadano,4
patriciapazos53,el_ciudadano,4
patriciapazos53,jorgepablolguin,4
rveliz4,ccifuentesh,4
delaunoyeduardo,papinomatus,4
gabrielpnogales,el_ciudadano,4
donkanus,paz_charpentier,4
morganlefay17,berfontaine,4
ivan_cc,vial_marta,4
nenesta,el_ciudadano,4
ghost637cl,24horastvn,4
claudipach,miderechoeducar,4
magdinav,miderechoeducar,4
helenit30401046,24horastvn,4
helenagallardom,marcetys,4
sanschonase,el_ciudadano,4
anguitapascal,revistaen_torno,4
markoser,lucyanaah,4
sandruk19,artemisofarica,4
macadelvalle,24horastvn,4
rechazomamarra,artemisofarica,4
otto_otoni,estallidotw,4
vlady57,el_ciudadano,4
damianarrimada,espaol49216792,4
ratoncnqueso,espaol49216792,4
ulisessalgadou7,lgougain,4
andresjaviercl,panchoorregog,3
nonoyno1960,lucasaykal,3
nonoyno1960,luzma_ossa,3
kennethbunker,tresquintos,3
medixi,paz_charpentier,3
countofright,berfontaine,3
countofright,amorenoe,3
marcoul53637927,tiapikachu,3
milenaeldan,dpm_chile2020,3
reneorlando,angeldlacruz_,3
vernica07401640,meqchile,3
vernica07401640,manuconstituye,3
ginniasa,carovilchesf,3
ginniasa,el_ciudadano,3
jorgeelgueta14,panchoorregog,3
g3randalf,berfontaine,3
canchitacenteno,anahidurandg,3
pallariforme12,anahidurandg,3
jfcardenasr,el_ciudadano,3
gatosagazz,berfontaine,3
repfederalchile,ampueroadriana,3
cgmege,paz_charpentier,3
juanmodinger,panchoorregog,3
alvaroanaclet_,paz_charpentier,3
marianoorosco,mdmetempestad,3
dorises81301925,kekabasualdo,3
patricioferrer,berfontaine,3
yolandaisabelc,edosalascerda,3
jorgequinta24,magica_radio,3
vinelliu,anahidurandg,3
themainfa,anahidurandg,3
marcelopda4131,gloconstituyent,3
bertinapporsiem,carovilchesf,3
mortadelajurel,berfontaine,3
jessnazareno12,miderechoeducar,3
