FROM,TO,WEIGHT
naujoli19,revoluciontt,12
naujoli19,revtt_prensa,12
caalfaroramirez,hugoguionista,12
ulisessalgadou7,lgougain,12
pakasa513,mister_wolf_0,12
carmenelecaro,marcoqz,12
cristic27285429,hugoguionista,12
lee_belmar4040,hugoguionista,12
jpmm56018856,hugoguionista,12
c_lalita,hugoguionista,12
estergae,mister_wolf_0,12
romabepo,frenterebeldes,12
ab_eddo,crovanos,12
antoniachinita,hugoguionista,12
legadobachelet,carodistrito1,12
teacuso,mister_wolf_0,12
pepitoriquelme,hugoguionista,12
cron1411,hugoguionista,12
primeralineatw,palkatiao,12
valenti67552416,hugoguionista,12
alejand81158101,viviluc2,12
alejandropgh91,mister_wolf_0,12
srabetsy,camiver9810,12
nancyalmen,hugoguionista,12
rodolfoxoliz,hugoguionista,12
vernica64755392,palkatiao,12
melisa_cuncumen,hugoguionista,12
mamapopito,hugoguionista,12
daisycatalina2,ralbarr66595823,12
atienzacortes,vivimatus,12
bosqueazul1,hugoguionista,12
anandatribe,revtt_prensa,12
jadueparque,frenterebeldes,12
jaimegarrafa,primeralineatw,12
sebastiane16,hugoguionista,12
daluso30313313,anandatribe,11
jcp_julio,frenterebeldes,11
oliverio65,frenterebeldes,11
torres_yuria,revtt_prensa,11
marita_stappung,mister_wolf_0,11
xparraa,viviluc2,11
menina1204,hugoguionista,11
1970sith,revtt_prensa,11
phosforilado,apruebaxchile,11
indignadapiola,frenterebeldes,11
lettyblur,bosqueazul1,11
ximeleala,hugoguionista,11
totoroc0,hugoguionista,11
zxrdo_albo76,academica2021,11
eyzacine,el_ciudadano,11
ivanarcosivan,hugoguionista,11
erojas46,hugoguionista,11
pablosilvo,mister_wolf_0,11
ammichinita,hugoguionista,11
alexgutif,hugoguionista,11
scherichiacoli_,hugoguionista,11
nana24519201,hugoguionista,11
livillo,hugoguionista,11
primeralineatw,revoluciontt,11
alfonsozaid83,hugoguionista,11
gabrielcamp30n,hugoguionista,11
vipni10,mister_wolf_0,11
miguel35458900,hugoguionista,11
bhdilan,el_ciudadano,11
bilopmaria,frenterebeldes,11
mimifeliz68,mister_wolf_0,11
zurdaroja1312,revoluciontt,11
jkarenga_epujsv,hugoguionista,11
silvana43922715,hugoguionista,11
roja53c,bosqueazul1,11
bernard00076719,hugoguionista,11
marcegeopch,roja53c,11
catupichumn,revistaen_torno,11
emmagrandon,hugoguionista,11
jcp_julio,anandatribe,10
nenguinino,hugoguionista,10
spawnjosito,mister_wolf_0,10
naujoli19,mister_wolf_0,10
fahrenbuhler,hugoguionista,10
nativopoblador,hugoguionista,10
motherwaterh,hugoguionista,10
javitga,mister_wolf_0,10
oyarceemilia,mister_wolf_0,10
1970sith,valenti22921230,10
mauricioacunae,hugoguionista,10
blancaewert1,bosqueazul1,10
rosarioacemon,revtt_prensa,10
erikaalvarezrei,dlirio,10
carmenelecaro,crovanos,10
alanna3391536,hugoguionista,10
elgratinnoalcan,bosqueazul1,10
otsaila_negro,mister_wolf_0,10
tsocialchileno,alidatalloni,10
luceromanzul,ibulnes72,10
lromer2016,crovanos,10
yolandaisabelc,hugoguionista,10
el_maleza,el_ciudadano,10
erojas46,bosqueazul1,10
arqmneira,pc_lareina,10
wakeupchile,frenterebeldes,10
wakeupchile,revtt_prensa,10
vlady57,hugoguionista,10
aguilasideral03,hugoguionista,10
frenterebeldes,revoluciontt,10
casaconstarica,carodistrito1,10
ivan_cc,vial_marta,10
majive3105,palkatiao,10
biozero,hugoguionista,10
mpaolatuteleers,primeralineatw,10
cejas17,primeralineatw,10
primeralineatw,karamelito65,10
jany_as,frenterebeldes,10
educalapaila,mister_wolf_0,10
ganoelapruebo,mister_wolf_0,10
ellenpardi,hugoguionista,10
